任务名称,角色,负责人,开始日期,截止日期,优先级,任务描述,产出物
"安装开发软件 VS Code/IDEA/Node/Git/MySQL","组长A/全员","全员","7月16日","7月18日",P0,全员安装开发软件并在群里发截图打卡,软件安装截图
"建 GitHub 仓库 + 邀请组员","组长A","A","7月16日","7月17日",P0,创建仓库chronic-disease-follow-up、设置main分支保护、邀请4位组员为Collaborator,仓库可访问
"推送项目骨架到 GitHub","组长A","A","7月16日","7月17日",P0,将本地完整项目目录推送到GitHub、含前后端代码+文档+数据库脚本,仓库根目录结构完整
"飞书看板搭建 + 任务导入","组长A","A","7月16日","7月17日",P0,将任务拆分CSV导入飞书看板、每张卡片分配负责人+截止日期,飞书看板可查看
"组织第一周周总结会","组长A","A","7月16日","7月16日",P0,按发言稿讲完四大要点：统一技术方向→飞书GitHub协作→查收成果→下周任务,会议记录
"数据库 6 张表建表","1号-后端","1号","7月16日","7月18日",P0,在 MySQL 执行 schema.sql 建6张表+插入管理员账号+10条预警规则,MySQL表创建成功
"Spring Boot 工程启动 + 健康检查","1号-后端","1号","7月16日","7月18日",P0,配置application.yml连接MySQL、启动Spring Boot、浏览器访问/api/health返回200,GET /api/health 返回{code:200}
"JWT 登录认证模块","1号-后端","1号","7月18日","7月20日",P0,AuthController+SecurityConfig+JwtUtil、POST /api/auth/login返回token,Postman登录接口调通
"患者管理 CRUD 5个接口","1号-后端","1号","7月18日","7月21日",P0,PatientController增删改查+分页、全部Postman调通、软删除实现,5个接口全部可调
"随访记录 CRUD 接口","1号-后端","1号","7月21日","7月24日",P0,FollowUpController增删改查+按patientId/日期范围筛选,Postman全部通过
"预警列表 + 处理接口","1号-后端","1号","7月21日","7月24日",P0,GET /api/alerts分页查询+筛选 + PUT /api/alerts/{id}/resolve标记已处理,2个接口可调
"逾期随访查询接口","1号-后端","1号","7月24日","7月26日",P1,GET /api/follow-ups/overdue查出超期7天以上患者,接口返回正确
"统计看板接口","1号-后端","1号","7月24日","7月28日",P1,GET /api/stats/overview总览+血压趋势+血糖趋势,3个统计接口可调
"预警自动触发逻辑","1号-后端","1号","7月26日","7月30日",P1,新增随访时遍历t_alert_rule逐条匹配、匹配成功自动插入t_alert,自动生成预警记录
"数据脱敏逻辑","1号-后端","1号","7月28日","7月31日",P1,Service层统一脱敏姓名/身份证/手机号/住址、非管理员看到脱敏数据,数据隔离验证通过
"用户管理 CRUD 接口","1号-后端","1号","7月28日","7月30日",P2,UserController增删改查、密码BCrypt加密,4个接口可调
"操作日志接口","1号-后端","1号","7月30日","7月31日",P2,GET /api/logs分页+自动记录关键操作,日志记录完整
"Vue3项目脚手架搭建","前端C","C","7月16日","7月18日",P0,Vue3+Vite+Element Plus脚手架、配路由router/index.js、配Pinia user store,npm run dev启动成功
"全局布局 MainLayout","前端C","C","7月16日","7月18日",P0,侧边栏220px菜单5项+顶栏用户名退出+router-view内容区、页面切换无闪烁,6个菜单项切换正常
"登录页面 LoginView","前端C","C","7月18日","7月19日",P0,医生/患者双Tab切换+用户名密码表单+调POST /api/auth/login+存token跳转主页,登录成功跳转/dashboard
"患者列表页 PatientList","前端C","C","7月19日","7月21日",P0,表格含姓名/性别/年龄/慢病类型/最近随访/责任医生/状态+状态彩色标签+搜索栏+新增编辑弹窗,Mock数据渲染页面可交互
"患者列表调真实API","前端C","C","7月21日","7月23日",P0,替换Mock数据为真实GET /api/patients、调通分页+搜索+新增+编辑+删除,CRUD全链路调通
"随访记录页面 FollowUpList","前端C","C","7月23日","7月26日",P1,列表含患者名/日期/方式/血压/血糖+搜索栏+新增编辑弹窗、先用Mock数据,Mock数据页面可交互
"预警页面 AlertList","前端C","C","7月24日","7月27日",P1,预警列表含患者名/类型/等级红色黄色+处理按钮+筛选、先用Mock数据,Mock数据页面可交互
"统计看板页面 Dashboard","前端C","C","7月27日","7月30日",P2,ECharts图表+总览数据卡片:患者总数/随访率/控制率/高危数,4个图表正确展示
"系统管理页面 UserManage+OperLog","前端C","C","7月30日","8月2日",P2,用户列表+新增编辑+操作日志表格+分页,页面功能完整
"华为云 CodeArts 项目开通","3号-AI","3号","7月16日","7月18日",P0,注册华为云→开通CodeArts→创建项目chronic-follow-up→获取API Key,控制台截图
"CodeArts API 调研笔记","3号-AI","3号","7月16日","7月19日",P0,调研API调用方式/认证方式/请求格式/响应样例/限制条件,docs/codearts-research.md
"CodeArts 最小 Demo 调通","3号-AI","3号","7月19日","7月21日",P0,运行demo.py输入需求文本→调CodeArts API→输出代码片段,终端输出代码片段
"Prompt 模板定稿","3号-AI","3号","7月21日","7月24日",P0,task-decompose.txt能稳定把需求拆为FRONTEND/BACKEND/DATABASE/TEST四类JSON,多次测试输出稳定
"拆解脚本 decompose.py","3号-AI","3号","7月24日","7月27日",P1,读入需求文本→调CodeArts→输出拆解JSON、错误处理+超时重试,脚本可运行
"与4号联调需求拆解接口","3号-AI","3号","7月27日","7月30日",P1,4号ChatPanel提交需求→你的脚本处理→返回拆解JSON、链路跑通,接口链路跑通
"UI 规范文档 ui-spec.md","4号-维护平台","4号","7月16日","7月18日",P0,配色方案/字体层级/布局规范/组件规范/数据展示规则、全组评审通过,文档完整
"维护平台 Vue3 脚手架","4号-维护平台","4号","7月16日","7月18日",P0,Vue3+Vite+Element Plus脚手架、配路由+布局,npm run dev启动成功
"需求输入页面 ChatPanel","4号-维护平台","4号","7月18日","7月21日",P0,左侧历史需求列表300px+右侧输入区+提交清空按钮+拆解结果Tab展示,页面可交互
"调通与3号联调接口","4号-维护平台","4号","7月27日","7月30日",P1,ChatPanel提交→调POST /api/ai/decompose→展示拆解结果四类任务,接口链路跑通
"Review 前端C代码","4号-维护平台","4号","7月19日","7月31日",P1,每天检查前端C的PR、是否符合前端开发标准、有无console.log/行内样式,PR Review记录
"后端测试框架搭建","5号-测试安全","5号","7月16日","7月18日",P0,JUnit5+MockMvc配置、HealthControllerTest通过、mvn test PASS,至少1个测试用例通过
"前端测试框架搭建","5号-测试安全","5号","7月16日","7月18日",P0,Vitest配置、example.test.js通过、npm run test PASS,至少1个测试用例通过
"预警规则清单 alert-rules.md","5号-测试安全","5号","7月16日","7月19日",P0,高血压6条+糖尿病4条+随访管理3条、基于临床指南阈值,docs/alert-rules.md
"异常规则初始数据交付","5号-测试安全","5号","7月18日","7月20日",P0,10条INSERT语句给1号、确认t_alert_rule表中有数据,表中10条数据
"患者接口测试用例","5号-测试安全","5号","7月21日","7月24日",P1,PatientControllerTest覆盖增删改查+分页+边界值,mvn test全部通过
"脱敏规则文档","5号-测试安全","5号","7月24日","7月27日",P1,desensitization-rules.md姓名/身份证/手机号/住址4种规则,docs内容完整
"脱敏前端组件 Desensitize","5号-测试安全","5号","7月27日","7月30日",P1,Desensitize.vue组件、管理员看原文非管理员看脱敏、phone/idCard/name/address四种类型,组件可用
"预警规则专项测试","5号-测试安全","5号","7月30日","8月3日",P1,造边界数据触发全部10条规则、验证预警正确生成,测试报告
"权限+脱敏测试","5号-测试安全","5号","8月3日","8月6日",P1,不同角色登录验证数据隔离和脱敏效果,测试报告
"Git 协作文档 git-workflow.md","6号-部署文档","6号","7月16日","7月18日",P0,分支策略+提交规范+代码Review流程+冲突解决,docs内容完整
"Docker 开发环境 docker-compose.yml","6号-部署文档","6号","7月16日","7月19日",P0,MySQL8.0容器+自动执行schema.sql+数据持久化、全组docker-compose up能跑通,docker compose ps正常
"Docker 全组启动验证","6号-部署文档","6号","7月21日","7月24日",P0,确保每人执行docker-compose up能一键启动MySQL+后端、curl /api/health返回200,全组验证通过截图
"赛题资料汇总","6号-部署文档","6号","7月16日","7月20日",P1,评分标准+CodeArts官方文档+往届案例+慢病随访业务参考资料,docs/competition-resources.md
"技术报告大纲","6号-部署文档","6号","7月24日","7月28日",P1,7个final-report文件标题+一级大纲写完,大纲完整
"检查全组 Git 规范","6号-部署文档","6号","7月28日","7月31日",P1,查提交历史确认没人直接push develop、没有.env/.key文件泄露、提交信息格式正确,Git规范审计记录
"GitHub Actions CI 配置","6号-部署文档","6号","7月31日","8月4日",P2,PR自动编译+自动跑测试、状态检查集成到PR页面,PR自动跑测试
"接口文档 swagger-api.md 定稿","组长A","A","7月16日","7月18日",P0,24个接口URL+请求体+返回体+字段名完整定义、与1号确认可实现性,docs/swagger-api.md
"数据库命名规范文档","组长A","A","7月16日","7月17日",P0,表名/主键/字段/索引命名规则统一、6张表字段速查,全组遵守
"进度追踪+PR仲裁","组长A","A","7月16日","8月8日",P0,每天查看GitHub PR/飞书看板/提交历史、处理接口理解争议、解决阻塞,项目正常推进
"技术报告初稿","组长A","A","8月1日","8月5日",P1,按final-report大纲写8000字技术报告初稿,技术报告v1
"技术报告定稿+答辩PPT","组长A","A","8月5日","8月10日",P0,润色技术报告+制作答辩PPT+组内预审,终稿+PPT
"Bug修复+答辩模拟演练","组长A/全员","全员","8月10日","8月14日",P0,上线前最终Bug排查、至少2次模拟答辩,零严重Bug+答辩准备就绪
